"","GB_Acession","Original","Access..No","Museum","Added.to.Database","Website","Family","Genus","Species","Endemic","Locality","Latitude","Longitude","SpecName"
"105",NA,"FMNH384740","384740","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1659592","Bernieridae","Xanthomixis","zosterops","Y","Antsiranana",-14.43,49.75,"Xanthomixis_zosterops_FMNH384740_CYTB"
"106",NA,"FMNH434675","434675","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1709400","Vangidae","Xenopirostris","polleni","Y","Fianarantsoa",-21.25,47.42,"Xenopirostris_polleni_FMNH434675_CYTB"
"107",NA,"FMNH356665","356665","FMNH","8/12/24","https://collections-zoology.fieldmuseum.org/catalogue/1631483","Vangidae","Xenopirostris","xenopirostris","Y","Toliara",-23,43.62,"Xenopirostris_xenopirostris_FMNH356665_CYTB"
"108",NA,"MJR1268","MJR1268","UADBA","8/12/24","","Zosteropidae","Zosterops","maderaspatanus","N - WEST INDIAN ISLANDS","",-18.25,47.57,"Zosterops_maderaspatanus_UADBAMJR1268_CYTB"
"109","KF060478","FMNH_352844","352844","FMNH",NA,NA,"Alaudidae","Eremopterix","hova",NA,NA,NA,NA,"Eremopterix_hova_KF060478_FMNH_352844_CYTB"
"110","HQ333038","FMNH_431202","431202","FMNH",NA,NA,"Bernieridae","Bernieria","madagascariensis",NA,NA,NA,NA,"Bernieria_madagascariensis_HQ333038_FMNH_431202_CYTB"
"111","MH651432","NHM_1931-8-18-1004","1931-8-18-1004","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651432_NHM_1931-8-18-1004_CYTB"
"112","MH651433","NHM_1931-8-18-1761","1931-8-18-1761","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651433_NHM_1931-8-18-1761_CYTB"
"113","MH651436","NHM_1931-8-18-1765","1931-8-18-1765","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651436_NHM_1931-8-18-1765_CYTB"
"114","MH651437","NHM_1931-8.18-1759","1931-8.18-1759","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651437_NHM_1931-8.18-1759_CYTB"
"115","MH651423","NHM_1889-11-3-72","1889-11-3-72","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651423_NHM_1889-11-3-72_CYTB"
"116","MH651424","NHM_1931-8-18-1002","1931-8-18-1002","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651424_NHM_1931-8-18-1002_CYTB"
"117","MH651425","NHM_1931-8-18-1760","1931-8-18-1760","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651425_NHM_1931-8-18-1760_CYTB"
"118","MH651438","NHM_1931-8-1-8-1757","1931-8-1-8-1757","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651438_NHM_1931-8-1-8-1757_CYTB"
"119","MH651439","NHM_1931-8-18-1764","1931-8-18-1764","NHM",NA,NA,"Rallidae","Dryolimnas","cuvieri",NA,NA,NA,NA,"Dryolimnas_cuvieri_MH651439_NHM_1931-8-18-1764_CYTB"
"120","AF129459","FMNH_380000","380000","FMNH",NA,NA,"Sylviidae","Acrocephalus","newtoni",NA,NA,NA,NA,"Acrocephalus_newtoni_AF129459_FMNH_380000_CYTB"
"121","AF129460","FMNH_380001","380001","FMNH",NA,NA,"Sylviidae","Acrocephalus","newtoni",NA,NA,NA,NA,"Acrocephalus_newtoni_AF129460_FMNH_380001_CYTB"
"122","AF129461","FMNH_384719","384719","FMNH",NA,NA,"Sylviidae","Acrocephalus","newtoni",NA,NA,NA,NA,"Acrocephalus_newtoni_AF129461_FMNH_384719_CYTB"
