,GB_Acession,Original,Access..No,Museum,Added.to.Database,Website,Family,Genus,Species,Endemic,Locality,Latitude,Longitude,SpecName
101,NA,FMNH434668,434668,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709393,Vangidae,Vanga,curvirostris,Y,Mahajanga,-16.3,46.82,Vanga_curvirostris_FMNH434668_COI
102,NA,FMNH393162,393162,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668011,Bernieridae,Xanthomixis,apperti,Y,Toliara,-22.68,44.19,Xanthomixis_apperti_FMNH393162_COI
103,NA,FMNH393287,393287,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668136,Bernieridae,Xanthomixis,cinereiceps,Y,Antsiranana,-14.54,49.43,Xanthomixis_cinereiceps_FMNH393287_COI
104,NA,FMNH393278,393278,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1668127,Bernieridae,Xanthomixis,tenebrosa,Y,Antsiranana,-14.54,49.44,Xanthomixis_tenebrosa_FMNH393278_COI
105,NA,FMNH384740,384740,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1659592,Bernieridae,Xanthomixis,zosterops,Y,Antsiranana,-14.43,49.75,Xanthomixis_zosterops_FMNH384740_COI
106,NA,FMNH434675,434675,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1709400,Vangidae,Xenopirostris,polleni,Y,Fianarantsoa,-21.25,47.42,Xenopirostris_polleni_FMNH434675_COI
107,NA,FMNH356665,356665,FMNH,8/12/24,https://collections-zoology.fieldmuseum.org/catalogue/1631483,Vangidae,Xenopirostris,xenopirostris,Y,Toliara,-23,43.62,Xenopirostris_xenopirostris_FMNH356665_COI
108,NA,MJR1268,MJR1268,UADBA,8/12/24,,Zosteropidae,Zosterops,maderaspatanus,N - WEST INDIAN ISLANDS,,-18.25,47.57,Zosterops_maderaspatanus_UADBAMJR1268_COI
109,JF792339,JEMU_23,23,JEMU,NA,NA,Accipitridae,Accipiter,madagascariensis,NA,NA,NA,NA,Accipiter_madagascariensis_JF792339_JEMU_23_COI
126,MF871727,FMNH_384685,384685,FMNH,NA,NA,Strigidae,Athene,superciliaris,NA,NA,NA,NA,Athene_superciliaris_MF871727_FMNH_384685_COI
127,JQ239316,PBZT_uncatalogued,uncatalogued,PBZT,NA,NA,Vangidae,Xenopirostris,damii,NA,NA,NA,NA,Xenopirostris_damii_JQ239316_PBZT_uncatalogued_COI
128,JQ239297,FMNH_356693,356693,FMNH,NA,NA,Vangidae,Hypositta,corallirostris,NA,NA,NA,NA,Hypositta_corallirostris_JQ239297_FMNH_356693_COI
130,JQ239292,FMNH_356683,356683,FMNH,NA,NA,Vangidae,Cyanolanius,madagascarinus,NA,NA,NA,NA,Cyanolanius_madagascarinus_JQ239292_FMNH_356683_COI
131,FJ473000,FMNH_393316,393316,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473000_FMNH_393316_COI
132,FJ473001,FMNH_393317,393317,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473001_FMNH_393317_COI
133,FJ473002,FMNH_393318,393318,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473002_FMNH_393318_COI
134,FJ473003,FMNH_393319,393319,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473003_FMNH_393319_COI
135,FJ473004,FMNH_393320,393320,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473004_FMNH_393320_COI
136,FJ473005,FMNH_393321,393321,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473005_FMNH_393321_COI
137,FJ473006,FMNH_393322,393322,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473006_FMNH_393322_COI
138,FJ473007,FMNH_393323,393323,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473007_FMNH_393323_COI
139,FJ473008,FMNH_393324,393324,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473008_FMNH_393324_COI
140,FJ473009,FMNH_393325,393325,FMNH,NA,NA,Muscicapidae,Copsychus,albospecularis,NA,NA,NA,NA,Copsychus_albospecularis_FJ473009_FMNH_393325_COI
141,JQ239289,FMNH_356676,356676,FMNH,NA,NA,Vangidae,Artamella,viridis,NA,NA,NA,NA,Artamella_viridis_JQ239289_FMNH_356676_COI
142,JQ239290,FMNH_346523,346523,FMNH,NA,NA,Platysteiridae,Batis,diops,NA,NA,NA,NA,Batis_diops_JQ239290_FMNH_346523_COI
